Index,suggestions,sortWeight,searchBy
487,"Thiruvarur, Karnataka, India",413,location
488,"Tiptur, Karnataka, India",413,location
489,"Tiruvallur, Karnataka, India",413,location
490,"Tumakuru, Karnataka, India",413,location
491,"Tumkur, Karnataka, India",413,location
492,"Turuvekere, Karnataka, India",413,location
493,"Udupi, Karnataka, India",413,location
494,"Uttara Kannada, Karnataka, India",413,location
495,"Virajpet, Karnataka, India",413,location
496,"Wayanad, Karnataka, India",413,location
497,"West Medinipur, Karnataka, India",413,location
498,"Yadgir, Karnataka, India",413,location
499,"Yelandur, Karnataka, India",413,location
500,"Yelbarga, Karnataka, India",413,location
501,"Yellapur, Karnataka, India",413,location
502,"Badaun, Delhi-NCR, India",412,location
503,"Dhaulpur, Delhi-NCR, India",412,location
504,"Farrukhabad, Delhi-NCR, India",412,location
505,"Fazilka, Delhi-NCR, India",412,location
506,"Gautam Buddh Nagar, Delhi-NCR, India",412,location
507,"Gurgaon / Gurugram, Delhi-NCR, India",412,location
508,"Hapur, Delhi-NCR, India",412,location
509,"Hazaribagh, Delhi-NCR, India",412,location
510,"Jhunjhunu, Delhi-NCR, India",412,location
511,"Kangra, Delhi-NCR, India",412,location
512,"Mahendragarh, Delhi-NCR, India",412,location
513,"Nadia, Delhi-NCR, India",412,location
514,"Nalanda, Delhi-NCR, India",412,location
515,"North Sikkim, Delhi-NCR, India",412,location
516,"Other, Delhi-NCR, India",412,location
517,"Palwal, Delhi-NCR, India",412,location
518,"Pauri Garhwal, Delhi-NCR, India",412,location
519,"Pithoragharh, Delhi-NCR, India",412,location
520,"Purvi Champaran, Delhi-NCR, India",412,location
521,"Rohtas, Delhi-NCR, India",412,location
522,"Sambhal, Delhi-NCR, India",412,location
523,"Shamli, Delhi-NCR, India",412,location
524,"Singrauli, Delhi-NCR, India",412,location
525,"Sri Ganganagar, Delhi-NCR, India",412,location
526,"Tiruvallur, Delhi-NCR, India",412,location
527,"Adipur, Gujarat, India",411,location
528,"Ahwa, Gujarat, India",411,location
529,"Amreli, Gujarat, India",411,location
530,"Aravalli, Gujarat, India",411,location
531,"Banaskantha, Gujarat, India",411,location
532,"Bhuj, Gujarat, India",411,location
533,"Chhota Udaipur, Gujarat, India",411,location
534,"Dahod, Gujarat, India",411,location
535,"Dang, Gujarat, India",411,location
536,"Devbhoomi Dwarka, Gujarat, India",411,location
537,"Farrukhabad, Gujarat, India",411,location
538,"Gandhidham, Gujarat, India",411,location
539,"Gir Somnath, Gujarat, India",411,location
540,"Godhra, Gujarat, India",411,location
541,"Himmatnagar, Gujarat, India",411,location
542,"Kandla, Gujarat, India",411,location
543,"Kheda, Gujarat, India",411,location
544,"Kutch, Gujarat, India",411,location
545,"Mahisagar, Gujarat, India",411,location
546,"Morbi, Gujarat, India",411,location
547,"Narmada, Gujarat, India",411,location
548,"Navsari, Gujarat, India",411,location
549,"Other, Gujarat, India",411,location
550,"Palanpur, Gujarat, India",411,location
551,"Panchmahal, Gujarat, India",411,location
552,"Patan, Gujarat, India",411,location
553,"Porbandar, Gujarat, India",411,location
554,"Rajpipla, Gujarat, India",411,location
555,"Ramgarh, Gujarat, India",411,location
556,"Sabarkatha, Gujarat, India",411,location
557,"Sonbhadra, Gujarat, India",411,location
558,"Sri Ganganagar, Gujarat, India",411,location
559,"Surendranagar, Gujarat, India",411,location
560,"Surguja, Gujarat, India",411,location
561,"Tapi, Gujarat, India",411,location
562,"Valsad, Gujarat, India",411,location
563,"Vapi, Gujarat, India",411,location
564,"Yamuna Nagar, Gujarat, India",411,location
565,"Barnala, Punjab, India",410,location
566,"Belagavi, Punjab, India",410,location
567,"Devbhoomi Dwarka, Punjab, India",410,location
568,"Faridkot, Punjab, India",410,location
569,"Fatehgarh Sahib, Punjab, India",410,location
570,"Fazilka, Punjab, India",410,location
571,"Kangra, Punjab, India",410,location
572,"Kapurthala, Punjab, India",410,location
573,"Mansa, Punjab, India",410,location
574,"Muktsar, Punjab, India",410,location
575,"Nawan Shehar, Punjab, India",410,location
576,"Other, Punjab, India",410,location
577,"Rupnagar, Punjab, India",410,location
578,"Sahibzada Ajit Singh Nagar, Punjab, India",410,location
579,"Shaheed Bhagat Singh Nagar, Punjab, India",410,location
580,"Sri Ganganagar, Punjab, India",410,location
581,"Sri Muktsar Sahib, Punjab, India",410,location
